"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"8925 Camminghaburen-C/Z";26;28;28;29;28;30;30;31;30;32;34;36
"8926 Nieuw-oost-NO";31;30;32;34;36;38;39;40;41;43;43;43
"8927 Leeuwarden";9;9;9;10;10;10;10;10;12;14;15;15
"8931 Nijlan";8;8;8;7;7;7;7;7;8;11;11;11
"8932 Huizum";39;38;38;38;37;38;39;39;39;39;39;41
"8933 Oud-oost-Z";21;21;21;22;22;21;21;21;21;22;22;22
"8934 Huizum-Dorp/Bornia";7;7;7;7;6;6;7;8;8;9;9;10
"8935 Aldlan/Rapenburg";35;35;37;39;38;38;40;43;39;38;41;43
"8936 Wielenpolle";2;2;2;2;2;2;4;4;4;5;5;5
"8937 Schepenbuurt";2;2;2;2;2;2;2;2;2;"";"";""
"8938 Hemrik";100;97;98;96;96;100;110;112;121;148;163;202
"8939 Leeuwarden";45;47;49;50;50;51;53;54;57;61;64;65
"8941 Leeuwarden";22;23;25;26;26;28;28;29;31;31;33;35
"9001 Grou";42;44;45;45;45;48;48;49;54;55;57;60
"9003 Warten";6;5;6;6;7;7;9;9;8;8;10;10
"9004 Warstiens";"";"";"";"";0;0;0;0;0;0;0;0
"9005 Wergea";14;15;16;15;17;17;19;19;20;23;23;23
"9006 Eagum";"";0;0;0;0;0;0;0;0;0;0;0
"9007 Idaerd";2;2;2;2;2;2;2;2;2;2;2;2
"9008 Reduzum";7;7;7;8;9;9;9;8;8;9;9;9
"9009 Friens";1;1;1;1;1;1;1;1;1;1;1;1
"9011 Jirnsum";6;6;6;6;6;6;6;6;7;8;8;9
"9012 Raerd";3;3;3;3;3;3;3;3;3;3;3;4
"9013 Poppenwier";1;1;1;1;1;1;2;2;2;2;3;2
"9014 Tersoal";2;2;2;2;2;2;2;2;2;2;2;2
"9021 Easterwierrum";3;3;2;2;2;2;2;2;2;2;2;2
"9022 Mantgum";13;15;16;16;16;17;17;17;16;16;15;16
"9023 Jorwert";0;0;0;0;0;0;0;0;0;0;0;0
"9024 Weidum";1;2;2;2;3;3;3;4;4;4;4;4
"9025 Bears";2;2;2;2;2;2;2;3;3;3;3;3
"9026 Jellum";2;2;2;2;3;3;3;3;2;2;2;2
"9027 Hilaard";3;3;3;4;4;4;5;5;5;5;5;5
"9031 Boksum";7;7;7;7;7;7;7;8;8;8;8;8
"9032 Blessum";"";"";"";"";"";"";"";"";"";"";"";""
"9033 Deinum";6;6;6;6;7;8;9;9;9;9;9;9
"9034 Marsum";4;4;4;4;5;5;5;4;4;4;5;5
"9035 Dronryp";22;23;23;24;25;25;27;30;32;31;31;32
"9036 Menaam";6;7;7;7;7;7;7;9;9;10;11;12
"9037 Slappeterp";"";"";"";"";"";"";"";"";"";"";"";0
"9038 Ingelum";2;2;2;2;3;4;5;5;4;4;6;6
"9041 Berltsum";13;15;15;15;15;15;15;15;15;16;16;17
"9043 Wier";1;1;1;1;1;1;1;1;1;1;1;1
"9044 Bitgum";6;6;7;7;7;7;7;7;7;8;8;8
"9045 Bitgummole";12;12;12;12;14;14;14;15;15;15;15;17
"9047 Minnertsga";6;6;6;6;6;6;7;8;8;9;9;9
"9051 Stiens";30;33;35;33;35;38;40;41;43;43;47;50
"9053 Feinsum";2;2;2;2;3;2;2;2;2;2;2;2
"9054 Hijum";1;1;1;1;1;1;1;1;2;2;2;2
"9055 Britsum";4;4;5;5;5;5;5;5;5;5;5;5
"9056 Koarnjum";2;2;2;2;2;3;3;3;3;3;3;3
"9057 Jelsum";5;5;5;4;5;5;6;6;6;6;7;7
"9061 Gytsjerk";31;33;33;35;38;38;37;37;38;41;40;44
"9062 Oentsjerk";10;10;10;10;10;10;9;9;9;10;10;12
"9063 Mûnein";4;4;4;5;5;5;5;7;8;8;9;10
"9064 Aldtsjerk";2;2;2;2;2;2;2;2;2;3;3;5
"9067 Readtsjerk";5;5;5;5;6;6;6;6;6;7;6;7
"9071 Alde Leie";1;1;1;1;1;1;1;1;1;1;1;1
"9072 Nij Altoenae";3;3;3;3;3;4;4;4;4;4;4;3
"9073 Marrum";3;3;3;3;3;4;4;4;4;4;5;6
"9074 Hallum";20;21;23;23;23;24;24;26;26;26;27;29
"9075 Westhoek";2;2;2;3;3;3;4;4;4;3;3;3
"9076 St.-Annaparochie";16;17;18;18;17;18;16;16;17;17;17;18
"9077 Vrouwenparochie";10;10;10;10;10;10;10;10;10;10;10;10
"9078 Oudebildtzijl";7;6;6;6;6;6;6;7;7;8;8;8
"9079 St.-Jacobiparochie";6;5;5;5;5;5;4;4;4;4;4;4
"9081 Lekkum";1;1;1;1;1;1;1;3;1;1;3;1
"9082 Miedum";0;0;0;0;0;0;0;0;0;0;0;0
"9083 Snakkerburen";0;0;0;0;0;1;1;1;2;2;2;2
"9084 Goutum";23;25;25;22;21;20;21;23;23;25;28;30
"9085 Teerns";"";"";"";"";"";"";"";"";"";"";"";""
"9086 Hempens";10;10;10;10;10;10;9;9;9;9;9;11
"9087 Swichum";1;1;1;1;1;1;1;1;1;1;1;1
"9088 Wirdum";8;8;8;8;8;9;9;16;20;22;23;22
"9089 Wytgaard";10;12;12;12;12;11;11;11;11;11;11;11
"9091 Wyns";3;3;3;3;3;2;2;4;5;5;5;5
"9101 Dokkum";56;56;56;55;55;57;55;56;60;63;62;67
"9102 Dokkum Weeshuislanden";0;0;0;0;0;0;0;1;1;2;2;2
"9103 Dokkum Jantjeszeepolder";8;8;8;8;8;8;9;9;10;12;13;14
"9104 Damwâld";6;6;6;7;9;11;14;14;15;15;15;15
"9105 Rinsumageest";7;7;8;8;8;8;8;9;9;9;9;9
"9106 Sibrandahûs";"";"";"";"";"";"";"";"";"";"";"";""
"9107 Janum";"";"";"";"";"";"";"";"";"";"";"";""
"9108 Broeksterwâld";3;3;3;3;3;3;2;2;2;2;2;2
"9109 De Falom";2;2;2;2;2;2;3;3;3;3;3;3
"9111 Birdaard";0;0;1;1;1;1;1;1;1;1;1;2
"9112 Vrsp hzn Birdaard";3;3;3;3;3;3;3;2;2;2;2;3
"9113 Wâlterswâld";1;1;2;2;2;2;2;3;3;3;3;4
"9114 Driezum";6;7;8;8;8;7;8;8;9;9;8;9
"9121 Aalsum";"";"";"";"";"";"";"";"";"";"";"";""
"9122 Wetsens";0;0;0;0;0;0;0;0;0;0;0;0
"9123 Metslawier";1;1;1;1;1;1;1;2;2;2;2;3
"9124 Jouswier";1;1;1;1;1;1;1;1;1;1;1;1
"9125 Oostrum";4;4;4;5;5;5;5;5;5;5;5;5
"9131 Ee";4;4;4;4;4;4;4;6;7;7;7;9
"9132 Engwierum";3;3;3;3;3;3;3;3;3;3;3;3
"9133 Anjum";4;4;4;3;3;4;4;5;5;5;6;6
"9134 Lioessens";"";"";"";"";"";"";"";"";0;0;1;1
"9135 Morra";1;1;1;0;0;0;0;0;0;0;0;0
"9136 Paesens";2;2;2;2;2;2;2;2;2;2;2;2
"9137 Oosternijkerk";3;3;3;3;3;3;3;4;4;4;5;6
"9138 Niawier";3;3;3;3;3;4;4;5;5;5;5;5
"9141 Wierum";1;1;1;1;1;1;1;1;1;1;1;1
"9142 Moddergat";1;1;1;1;1;1;1;1;1;1;1;1
"9143 Nes";2;2;2;2;2;2;2;2;2;2;2;2
"9144 Hantumhuizen";1;1;1;1;1;1;1;1;1;1;1;1
"9145 Ternaard";3;4;4;3;3;3;3;3;4;4;4;3
"9146 Hantumeruitburen";"";"";"";"";"";"";"";"";"";"";"";""
"9147 Hantum";0;0;0;0;0;0;0;0;0;0;1;1
"9148 Hiaure";0;0;0;0;0;0;0;0;0;0;0;0
"9151 Holwerd";3;3;3;3;3;3;3;3;3;3;3;3
"9152 Waaxens";"";"";"";"";"";"";"";"";"";"";"";""
"9153 Brantgum";4;4;4;4;4;4;5;5;5;5;5;5
"9154 Foudgum";"";"";"";"";"";"";"";"";"";"";"";""
"9155 Raard";1;1;1;1;1;1;1;1;1;1;1;1
"9156 Bornwird";2;2;2;2;2;2;2;2;2;2;2;2
"9161 Hollum";15;15;15;15;15;15;15;14;14;14;15;16
"9162 Ballum";41;41;40;41;41;41;42;41;41;41;41;41
"9163 Nes";52;52;52;52;52;52;52;55;56;57;57;57
"9164 Buren";24;23;22;22;24;25;25;26;26;26;26;26
"9166 Schiermonnikoog";14;14;17;18;19;19;19;21;21;21;21;21
"9171 Blije";3;4;3;4;4;5;5;5;5;6;5;5
"9172 Ferwert";7;7;8;8;8;8;9;8;8;8;8;8
"9173 Hegebeintum";0;0;0;0;0;0;0;0;0;0;0;1
"9174 Ginnum";1;1;1;1;1;1;1;1;1;1;1;1
"9175 Reitsum";0;0;0;0;0;0;0;0;0;0;0;0
"9176 Lichtaard";"";"";"";"";"";"";"";"";"";"";"";""
"9177 Jislum";"";"";"";"";"";"";"";"";"";"";"";""
"9178 Wânswert";1;1;1;1;1;1;1;1;2;2;1;1
"9201 Noord-O/De Swetten";1127;1146;1162;1176;1182;1225;1203;1394;1575;1652;1234;1549
"9202 De Wiken/De Venen";25;26;25;26;26;29;31;32;30;31;32;34
"9203 Centrum/Singels/Bouwen";39;39;39;39;38;38;42;42;46;50;51;55
"9204 De Drait";45;46;44;44;45;47;47;52;50;49;50;50
"9205 De Trisken";16;16;17;17;19;23;24;24;25;25;27;28
"9206 De Haven";18;19;17;17;18;19;19;19;19;21;24;28
"9207 De Folgeren";38;35;36;38;38;42;41;41;48;48;51;59
"9211 Kortehemmen";2;2;2;2;2;2;2;2;2;2;2;2
"9212 Boornbergum";6;7;7;7;7;7;8;8;8;9;10;10
"9213 De Wilgen";11;11;11;10;10;10;10;10;13;15;16;17
"9214 Smalle Ee";1;1;1;1;1;1;1;1;1;1;1;1
"9215 De Veenhoop";3;3;3;3;3;3;3;3;3;3;3;4
"9216 Oudega";7;7;8;9;10;11;10;11;11;10;11;11
"9217 Nijega";1;1;2;1;1;1;1;1;1;1;1;1
"9218 Opeinde";11;13;14;14;14;14;14;14;15;15;15;15
"9219 De Tike";1;1;1;1;1;1;1;2;2;3;3;3
"9221 Rottevalle";8;8;9;10;10;11;11;11;11;11;11;12
"9222 Drachtstercompagnie";4;4;4;4;4;4;5;4;4;4;4;4
"9223 Houtigehage";2;2;3;3;3;3;3;3;3;4;4;4
"9231 Surhuisterveen";22;21;23;24;23;24;25;26;25;26;27;29
"9233 Boelenslaan";4;4;4;4;5;5;5;6;6;7;7;7
"9241 Wijnjewoude";17;17;17;17;17;14;14;13;14;14;17;18
"9243 Bakkeveen";11;12;12;12;13;15;17;17;17;18;18;18
"9244 Beetsterzwaag";27;28;28;28;27;27;29;32;31;31;33;32
"9245 Nij Beets";13;13;13;15;14;14;15;15;14;14;14;15
"9246 Olterterp";2;2;2;2;2;2;2;2;2;2;2;2
"9247 Ureterp";13;14;14;14;16;15;16;16;17;20;21;24
"9248 Siegerswoude";6;6;6;6;7;7;8;8;8;9;9;9
"9249 Frieschepalen";6;7;7;7;7;7;7;7;7;7;7;9
"9251 Burgum";46;46;45;45;44;48;51;52;53;59;63;65
"9254 Hardegaryp";25;27;27;28;28;31;33;38;39;40;41;41
"9255 Tytsjerk";6;6;6;6;6;7;8;10;11;12;12;14
"9256 Rypsjerk";6;6;7;7;7;6;6;9;9;9;9;10
"9257 Noordburgum";15;15;16;15;16;16;15;15;16;16;17;17
"9258 Jistrum";5;5;5;5;5;5;5;5;7;7;7;7
"9261 Eastermar";12;12;11;11;11;11;13;13;13;13;13;14
"9262 Sumar";9;9;11;11;11;11;10;10;10;10;10;10
"9263 Garyp";8;9;9;9;9;9;9;10;11;13;13;13
"9264 Earnewâld";12;12;12;12;12;10;10;10;10;10;10;10
"9265 Suwald";9;11;11;11;11;11;11;11;11;11;12;11
"9269 Feanwâlden";8;7;7;7;8;9;9;10;10;11;11;11
"9271 De Westereen";12;12;13;13;15;18;18;18;16;17;17;18
"9281 Harkema";17;17;17;16;16;15;15;15;15;16;16;17
"9283 Surhuizum";5;6;5;5;5;5;5;5;7;7;7;7
"9284 Augustinusga";7;7;9;9;9;9;8;8;10;10;10;12
"9285 Buitenpost";35;35;36;38;37;38;40;40;39;39;40;39
"9286 Twijzel";7;7;6;7;7;7;7;7;7;7;7;7
"9287 Twijzelerheide";7;7;6;6;6;7;8;8;7;7;8;8
"9288 Kootstertille";6;6;7;7;7;8;9;10;10;10;11;12
"9289 Drogeham";11;11;11;11;10;11;10;10;10;10;12;11
"9291 Kollum";30;30;30;28;29;30;31;33;34;34;34;35
"9292 Augsbuurt";0;0;0;0;0;0;0;0;0;0;0;0
"9293 Kollumerpomp";1;1;1;1;1;1;2;2;3;3;3;3
"9294 Oudwoude";3;3;3;3;3;4;4;4;4;3;3;4
"9295 Westergeest";4;4;3;3;3;3;3;3;3;3;3;4
"9296 Triemen";1;1;1;2;2;2;2;1;1;1;1;1
"9297 Veenklooster";1;1;1;1;1;1;1;1;1;1;1;2
"9298 Kollumerzwaag";11;12;13;15;15;16;18;16;17;17;17;18
"9299 Zwagerbosch";1;1;1;1;1;1;2;2;3;3;3;3
"9301 Roden";78;78;79;80;83;85;89;94;105;106;110;111
"9302 Vijfde Verloting";27;28;29;30;31;29;32;33;35;34;35;35
"9304 Lieveren";2;2;2;2;2;2;4;4;4;4;4;5
"9305 Roderesch";5;5;5;5;5;5;6;6;6;6;6;6
"9306 Alteveer";1;1;1;1;1;1;1;1;1;1;1;1
"9307 Steenbergen";0;1;1;1;1;1;1;1;1;2;1;1
"9311 Nieuw-Roden";9;9;9;10;12;11;11;12;12;12;14;15
"9312 Nietap";11;11;11;10;11;11;10;10;10;8;8;9
"9313 Leutingewolde";"";"";"";"";"";"";"";"";"";"";"";""
"9314 Foxwolde";1;1;1;1;1;1;1;1;1;1;1;2
"9315 Roderwolde";4;4;4;4;4;4;4;4;4;4;5;5
"9321 Peize";61;64;65;65;64;68;66;67;67;70;74;72
"9331 Norg";38;38;39;41;39;40;41;42;42;44;45;46
"9333 Langelo";6;6;6;7;7;8;8;9;9;10;10;10
"9334 Peest";1;1;1;1;1;1;1;1;1;1;1;1
"9335 Zuidvelde";1;1;1;1;1;1;1;1;1;1;1;1
"9336 Huis ter Heide";2;2;2;2;2;2;2;2;2;2;2;2
"9337 Westervelde";2;2;3;3;3;3;3;3;3;3;3;3
"9341 Veenhuizen";5;6;6;6;6;6;7;7;8;8;9;10
"9342 Een";4;4;4;4;4;4;5;5;5;5;6;5
"9343 Een-W";1;1;1;2;2;2;2;2;3;3;3;3
"9351 Leek";79;82;81;82;84;89;92;94;96;101;104;106
"9354 Zevenhuizen";29;29;27;25;23;23;24;23;25;26;24;25
"9355 Midwolde";42;41;41;41;41;39;37;34;34;34;33;33
"9356 Tolbert";29;29;29;31;30;29;30;32;35;38;39;40
"9359 Buitengebied tzv Leek";1;1;1;1;1;1;1;2;2;2;2;2
"9361 Buitengebied Marum";1;1;1;1;1;1;1;1;2;2;2;2
"9362 Boerakker";1;1;1;1;1;1;2;2;2;3;3;3
"9363 Marum";25;25;26;26;28;28;30;30;32;32;33;36
"9364 Nuis";5;8;8;8;8;8;8;8;8;8;9;9
"9365 Niebert";6;6;6;6;6;5;5;5;5;5;5;5
"9366 Jonkersvaart";4;3;3;3;3;4;4;4;4;5;5;5
"9367 De Wilp";4;4;5;6;6;6;6;4;4;4;4;5
"9401 Binnenstad";54;55;60;60;61;62;63;63;63;66;69;73
"9402 West";32;32;32;47;61;82;82;84;84;86;86;88
"9403 Noordoost";132;135;135;134;134;144;144;145;153;159;165;172
"9404 Oost";23;24;23;23;23;23;22;23;23;23;27;29
"9405 Zuid";43;48;44;44;44;49;53;51;51;53;51;53
"9406 Noordwest";28;30;31;31;32;34;33;32;32;33;37;38
"9407 Peelo";15;15;15;16;16;19;20;23;23;25;26;28
"9408 Assen";49;50;51;52;51;54;60;65;67;69;76;81
"9409 Loon";2;2;2;2;2;2;2;2;2;2;2;2
"9411 Beilen";43;44;41;40;41;42;44;46;51;54;64;67
"9412 Beilen";3;3;2;2;2;2;3;3;3;4;4;4
"9413 Beilen";6;6;7;7;8;8;8;8;8;9;9;9
"9414 Hooghalen";9;9;9;10;10;10;11;12;12;13;13;14
"9415 Hijken";7;7;8;8;8;8;8;8;11;11;12;12
"9416 Oranje";0;0;0;0;0;0;0;0;0;0;0;0
"9417 Spier";4;3;4;4;4;4;4;4;4;4;5;5
"9418 Wijster";6;6;6;6;8;8;7;8;7;7;8;9
"9419 Drijber";"";1;1;1;1;1;1;1;1;1;1;1
"9421 Bovensmilde";14;14;14;14;13;13;12;12;14;13;13;15
"9422 Smilde";12;13;12;12;12;12;13;14;15;17;18;18
"9423 Hoogersmilde";12;12;12;12;12;12;12;13;13;14;14;15
"9431 Westerbork";39;40;41;42;40;40;41;41;43;44;45;47
"9432 Zuidveld";1;1;1;1;1;1;1;1;1;1;1;1
"9433 Zwiggelte";9;9;9;11;11;11;11;11;11;11;11;11
"9434 Eursinge";0;0;0;0;0;0;0;0;0;0;0;0
"9435 Bruntinge";"";"";"";"";"";"";"";"";"";"";"";""
"9436 Mantinge";3;3;3;3;3;4;4;3;3;3;4;5
"9437 Balinge";1;1;1;1;1;2;2;2;3;3;3;3
"9438 Garminge";1;2;2;2;2;1;2;2;2;2;2;2
"9439 Witteveen";5;5;5;5;5;4;4;4;4;4;4;4
"9441 Orvelte";5;5;5;5;5;6;6;6;6;6;6;6
"9442 Elp";5;5;5;5;5;4;4;4;4;4;4;4
"9443 Schoonloo";3;3;3;3;3;3;3;3;3;2;2;2
"9444 Grolloo";5;6;6;6;6;6;6;6;6;6;6;6
"9445 Vredenheim";"";"";"";"";"";"";"";"";"";"";"";""
"9446 Amen";1;1;1;2;2;2;2;3;3;3;3;3
"9447 Papenvoort";"";"";"";"";"";"";"";"";"";"";"";""
"9448 Marwijksoord";0;0;0;0;0;1;1;1;1;2;2;2
"9449 Nooitgedacht";3;4;4;4;4;4;4;5;5;6;6;7
"9451 Rolde";20;22;23;24;25;25;25;26;26;27;28;29
"9452 Nijlande";1;1;1;1;1;1;1;1;1;1;1;1
"9453 Eldersloo";1;1;1;1;1;1;1;1;1;1;1;1
"9454 Ekehaar";5;5;6;7;7;7;7;7;7;7;7;7
"9455 Geelbroek";"";"";"";"";"";"";"";"";"";"";"";""
"9456 Eleveld";"";"";"";"";"";"";"";"";"";"";"";""
"9457 Deurze";2;2;2;2;2;2;2;2;2;2;2;2
"9458 Balloo";1;1;1;1;1;1;1;1;1;1;1;1
"9459 Balloerveld";"";"";"";"";"";"";"";"";"";"";"";""
"9461 Gieten";28;30;32;32;34;34;35;36;38;40;45;52
"9462 Gasselte";13;13;13;13;13;14;14;14;16;17;17;19
"9463 Eext";15;15;15;15;15;15;15;16;16;16;17;18
"9464 Eexterzandvoort";1;1;1;1;1;1;1;1;1;1;1;1
"9465 Anderen";4;4;4;4;4;4;4;4;4;4;4;4
"9466 Gasteren";3;3;4;4;4;4;4;4;4;4;5;4
"9467 Anloo";5;6;6;6;7;7;7;7;9;9;9;9
"9468 Annen";27;27;27;27;28;28;29;30;32;32;32;36
"9469 Schipborg";15;15;16;16;17;18;17;16;16;17;17;17
"9471 Zuidlaren";38;40;41;43;42;46;47;47;47;49;49;50
"9472 Schuilingsoord";22;22;22;22;23;25;25;26;27;29;31;32
"9473 De Groeve";10;10;10;10;10;10;10;11;11;12;12;12
"9474 Zuidlaarderveen";3;3;3;3;3;3;4;4;4;4;4;4
"9475 Midlaren";8;9;9;10;10;10;10;11;11;11;11;11
"9479 Noordlaren";8;8;8;8;8;8;9;11;11;11;13;14
"9481 Vries";24;24;25;26;26;26;25;29;29;29;31;31
"9482 Tynaarlo";39;40;43;42;43;42;45;45;48;58;53;57
"9483 Zeegse";8;9;9;9;9;9;10;10;9;9;9;9
"9484 Oudemolen";1;1;1;1;1;1;2;3;3;4;4;4
"9485 Taarlo";1;1;1;1;1;1;1;1;1;1;1;1
"9486 Rhee";0;0;0;0;0;0;0;0;0;0;0;0
"9487 Ter Aard";1;1;1;1;1;1;1;1;1;1;1;1
"9488 Zeijerveld";0;0;0;0;0;0;0;0;0;0;0;0
"9489 Zeijerveen";1;1;1;1;1;1;1;1;1;1;1;1
"9491 Zeijen";6;6;6;6;6;6;8;9;10;10;10;10
"9492 Ubbena";1;1;2;2;2;2;2;3;3;3;3;3
"9493 De Punt";1;1;1;1;1;2;2;2;2;2;2;2
"9494 Yde";1;1;1;1;1;1;1;1;2;2;2;3
"9495 Winde";4;4;4;4;4;4;4;4;4;4;4;4
"9496 Bunne";0;0;0;0;0;0;0;0;1;1;1;1
"9497 Donderen";8;8;8;8;8;9;9;9;9;9;9;9
"9501 Centrum/Ter Maarsch 1,2/Noord";41;41;41;43;43;45;47;48;49;51;50;53
"9502 Ter Maarsch 3,4,5";18;20;20;19;20;19;20;21;23;27;29;31
"9503 Parkwijk/Industriegebied";22;25;25;24;22;25;28;28;32;30;31;33
"9511 Gieterveen";9;9;10;10;10;10;10;9;9;9;9;9
"9512 Nieuwediep";5;5;6;7;6;6;6;6;6;7;7;5
"9514 Gasselternijveen";7;7;7;7;7;7;8;7;7;8;9;9
"9515 Gasselternijveenschemond";0;1;1;1;1;1;1;1;2;2;2;2
"9521 Nieuw-Buinen";20;19;19;21;22;22;22;23;22;22;22;27
"9523 Drouwenermond";3;3;3;4;4;4;4;4;4;4;4;4
"9524 Buinerveen";2;2;2;2;2;2;2;2;2;2;2;2
"9525 Drouwenerveen";"";"";"";"";"";"";"";"";"";"";"";""
"9526 Bronnegerveen";"";"";"";"";"";"";"";1;1;1;1;1
"9527 Bronneger";3;3;3;3;3;3;3;3;3;3;3;3
"9528 Buinen";7;7;7;7;7;8;8;9;9;10;10;10
"9531 Borger";25;24;24;24;25;25;24;28;27;28;29;31
"9533 Drouwen";6;6;7;7;7;7;7;7;7;7;7;7
"9534 Westdorp";4;4;3;3;3;3;3;3;3;3;3;3
"9535 Ellertshaar";"";"";"";"";0;0;0;0;0;0;0;0
"9536 Ees";5;5;5;5;5;5;5;6;6;6;6;6
"9537 Eesergroen";3;3;3;3;3;3;3;3;3;3;3;3
"9541 Vlagtwedde";7;7;7;7;7;7;9;10;11;10;10;11
"9545 Bourtange";3;3;3;3;3;3;3;4;3;3;4;4
"9551 Sellingen";14;14;14;14;14;14;14;13;14;16;16;16
"9561 Ter Apel";27;28;30;31;30;31;30;32;34;37;39;39
"9563 Ter Apelkanaal";6;6;6;6;7;7;11;11;11;11;11;11
"9564 Zandberg";0;0;0;0;0;0;0;0;0;0;0;0
"9566 Veelerveen";1;1;1;1;1;1;1;1;1;1;1;1
"9571 Tweede Exloermond";7;6;6;7;7;7;7;7;7;7;8;8
"9573 Eerste Exloermond";3;3;3;3;3;3;3;3;3;3;3;3
"9574 Exloerveen";1;1;1;1;1;1;1;2;2;2;2;2
"9581 Musselkanaal";25;26;27;27;24;24;26;27;27;27;27;27
"9584 Mussel";3;3;3;3;3;3;3;3;3;3;4;4
"9585 Vledderveen";1;1;1;1;1;1;1;1;1;1;1;1
"9591 Onstwedde";7;7;7;9;9;8;8;9;10;12;11;11
"9601 Hoogezand-N";31;31;30;32;36;39;41;44;45;45;45;45
"9602 Hoogezand-Z";30;30;30;29;31;37;41;41;42;42;43;45
"9603 Zuiderpark/Dreven/Kalkwijk";15;15;16;16;16;18;20;18;19;20;21;22
"9605 Windeweer/Nwe Compagnie/Kiel";5;6;6;6;6;6;6;6;7;7;7;7
"9606 Kropswolde/Wolfsbarge/Meerwijck";28;28;28;28;32;35;37;37;38;39;41;45
"9607 Foxhol";3;3;3;3;3;3;3;4;4;4;4;5
"9608 Westerbroek";10;10;10;10;10;10;12;13;14;15;15;16
"9609 Waterhuizen";1;1;1;1;1;1;"";"";"";"";"";""
"9611 Sappemeer";29;28;29;27;28;31;31;34;36;37;36;36
"9613 Meerstad";16;16;16;16;18;19;22;23;26;28;29;29
"9614 Harkstede GN";2;2;2;2;2;2;2;2;2;2;3;3
"9615 Kolham";17;20;20;21;22;22;21;21;21;22;22;22
"9616 Scharmer";1;1;1;1;1;1;1;2;3;3;3;3
"9617 Harkstede";29;29;29;28;28;27;27;26;27;28;28;28
"9618 Woudbloem";1;1;1;1;1;1;1;1;1;1;1;1
"9619 Froombosch";5;7;7;7;7;7;7;7;8;8;8;8
"9621 Slochteren";11;14;14;15;15;15;17;17;17;18;18;18
"9622 Lageland GN";"";"";"";"";1;1;1;1;1;1;1;2
"9623 Lageland";0;0;0;0;0;0;0;0;0;0;0;0
"9624 Luddeweer";"";"";"";"";"";"";"";"";"";"";"";""
"9625 Overschild";2;2;2;2;2;2;2;2;2;2;3;3
"9626 Schildwolde";11;11;11;10;10;10;10;10;12;13;13;13
"9627 Hellum";6;6;6;6;6;7;7;7;7;7;8;8
"9628 Siddeburen";22;24;25;25;25;25;26;26;26;29;30;31
"9629 Steendam";2;2;2;2;2;2;2;2;2;2;2;2
"9631 Borgercompagnie (Veendam)";2;2;2;2;2;2;2;3;3;3;2;2
"9632 Borgercompagnie (Menterwolde)";1;1;1;1;1;1;1;1;1;1;1;1
"9633 Tripscompagnie";2;2;2;2;2;2;2;2;2;2;2;2
"9635 Noordbroek";7;8;8;8;9;9;9;9;11;12;12;13
"9636 Zuidbroek";31;31;31;32;32;33;34;33;34;34;35;38
"9641 Kern";36;38;39;37;37;38;41;43;42;43;46;52
"9642 Sorghvliet";9;9;9;9;10;10;11;12;13;12;12;15
"9644 Buitengebied";5;5;5;5;5;5;5;6;7;7;7;8
"9645 Oude Ae/Middenweg";8;9;9;12;12;12;12;12;13;15;15;15
"9646 Buitenwoel";13;7;7;8;8;7;8;8;8;8;9;9
"9648 Wildervank";19;20;20;21;22;23;23;25;27;27;28;30
"9649 Muntendam";17;17;16;17;19;20;22;22;22;23;24;25
"9651 Meeden";7;7;7;7;8;7;7;7;7;8;8;8
"9654 Annerveenschekanaal";3;3;3;3;3;3;4;4;4;4;4;4
"9655 Oud-Annerveen";2;1;1;1;1;2;2;2;2;2;2;2
"9656 Spijkerboor";0;0;0;0;0;0;0;0;0;0;0;0
"9657 Nieuw-Annerveen";1;2;2;2;2;2;2;2;2;2;2;2
"9658 Eexterveen";6;7;7;7;7;7;7;8;8;8;8;8
"9659 Eexterveenschekanaal";"";"";1;1;1;1;1;1;1;1;1;1
"9661 Alteveer-Stadskanaal";6;6;6;6;6;6;6;6;5;7;7;7
"9663 Nieuwe Pekela";16;17;18;18;19;21;21;22;22;22;21;21
"9665 Oude Pekela";22;20;20;20;20;19;25;25;28;28;28;28
"9671 Centrum";13;13;14;14;16;16;17;18;20;19;19;20
"9672 Industriegebied";3;3;3;3;3;3;3;3;4;5;5;9
"9673 Zuid";8;8;8;8;8;8;8;8;8;10;10;10
"9674 Bomenbrt/St Vitusholt";3;3;3;3;3;3;3;3;3;4;4;5
"9675 Noord";25;26;26;26;26;26;27;29;28;28;28;29
